subscription_id,customer_id,plan_id,mrr,seat_count,status,effective_at
S001,C001,P003,5000,100,active,2025-12-01
S001,C001,P003,6500,130,active,2026-03-15
S001,C001,P003,5800,116,active,2026-05-10
S002,C002,P001,500,10,active,2026-02-01
S002,C002,P001,750,15,active,2026-04-05
S002,C002,P001,0,0,cancelled,2026-06-20
S003,C003,P002,2000,40,active,2025-12-01
S003,C003,P002,1500,30,active,2026-03-01
S003,C003,P002,0,0,cancelled,2026-05-01
S003,C003,P002,1800,36,active,2026-08-01
S004A,C004,P003,7000,140,active,2025-12-01
S004B,C004,P004,800,140,active,2026-04-01
S004A,C004,P003,7500,150,active,2026-06-01
S005,C005,P001,300,6,active,2026-01-10
S005,C005,P001,0,0,cancelled,2026-02-25
S005,C005,P001,400,8,active,2026-05-15
S006,C006,P002,2500,50,active,2025-12-01
S006,C006,P003,3200,64,active,2026-04-15
S006,C006,P003,3500,70,active,2026-07-01
S007,C007,P002,1800,36,active,2026-02-05
S007,C007,P002,1200,24,active,2026-04-20
S007,C007,P002,0,0,cancelled,2026-07-01
S008,C008,P003,9000,180,active,2025-12-01
S009,C009,P001,600,12,active,2026-03-01
S009,C009,P001,900,18,active,2026-06-01
S010,C010,P002,2200,44,active,2025-12-01
S010,C010,P002,0,0,cancelled,2026-03-31
S010,C010,P002,2500,50,active,2026-09-01
S011,C011,P003,10000,200,active,2025-12-01
S011,C011,P003,8500,170,active,2026-07-15
S012,C012,P001,400,8,active,2026-05-01
S012,C012,P001,0,0,cancelled,2026-08-31
