month,segment,beginning_mrr,ending_mrr,beginning_customers,nrr
2026-01-01,Mid-Market,6700.0,6700.0,3,1.0
2026-02-01,Mid-Market,6700.0,8500.0,3,1.0
2026-03-01,Mid-Market,8500.0,5800.0,4,0.6823529411764706
2026-04-01,Mid-Market,5800.0,5900.0,3,1.0172413793103448
2026-05-01,Mid-Market,5900.0,4400.0,3,0.7457627118644068
2026-06-01,Mid-Market,4400.0,4400.0,2,1.0
2026-07-01,Mid-Market,4400.0,3500.0,2,0.7954545454545454
2026-08-01,Mid-Market,3500.0,5300.0,1,1.5142857142857142
2026-09-01,Mid-Market,5300.0,7800.0,2,1.471698113207547
2026-01-01,Enterprise,31000.0,31000.0,4,1.0
2026-02-01,Enterprise,31000.0,31000.0,4,1.0
2026-03-01,Enterprise,31000.0,32500.0,4,1.0483870967741935
2026-04-01,Enterprise,32500.0,33300.0,4,1.0246153846153847
2026-05-01,Enterprise,33300.0,32600.0,4,0.978978978978979
2026-06-01,Enterprise,32600.0,33100.0,4,1.0153374233128833
2026-07-01,Enterprise,33100.0,31600.0,4,0.9546827794561934
2026-08-01,Enterprise,31600.0,31600.0,4,1.0
2026-09-01,Enterprise,31600.0,31600.0,4,1.0
2026-04-01,SMB,1100.0,1350.0,2,1.2272727272727273
2026-05-01,SMB,1350.0,2150.0,2,1.2962962962962963
2026-06-01,SMB,2150.0,1700.0,4,0.7906976744186046
2026-07-01,SMB,1700.0,1700.0,3,1.0
2026-08-01,SMB,1700.0,1300.0,3,0.7647058823529411
2026-09-01,SMB,1300.0,1300.0,2,1.0
2026-02-01,SMB,300.0,500.0,1,0.0
2026-03-01,SMB,500.0,1100.0,1,1.0
