month,beginning_mrr,ending_mrr,net_mrr_change,mrr_growth_rate,new_mrr,expansion_mrr,reactivation_mrr,contraction_mrr,churn_mrr,grr,nrr,active_customers,new_customers,churned_customers
2026-01,37700.0,38000.0,300.0,0.007958,300.0,0.0,0.0,0.0,0.0,1.0,1.0,8,1,0
2026-02,38000.0,40000.0,2000.0,0.052632,2300.0,0.0,0.0,0.0,300.0,0.992105,0.992105,9,2,1
2026-03,40000.0,39400.0,-600.0,-0.015,600.0,1500.0,0.0,500.0,2200.0,0.9325,0.97,9,1,1
2026-04,39400.0,40550.0,1150.0,0.029188,0.0,1750.0,0.0,600.0,0.0,0.984772,1.029188,9,0,0
2026-05,40550.0,39150.0,-1400.0,-0.034525,400.0,0.0,400.0,700.0,1500.0,0.945746,0.95561,10,1,1
2026-06,39150.0,39200.0,50.0,0.001277,0.0,800.0,0.0,0.0,750.0,0.980843,1.001277,9,0,1
2026-07,39200.0,36800.0,-2400.0,-0.061224,0.0,300.0,0.0,1500.0,1200.0,0.931122,0.938776,8,0,1
2026-08,36800.0,38200.0,1400.0,0.038043,0.0,0.0,1800.0,0.0,400.0,0.98913,1.038043,8,0,1
2026-09,38200.0,40700.0,2500.0,0.065445,0.0,0.0,2500.0,0.0,0.0,1.0,1.065445,9,0,0
2026-10,40700.0,40700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9,0,0
2026-11,40700.0,40700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9,0,0
2026-12,40700.0,40700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9,0,0
