month,segment,beginning_mrr,ending_mrr,net_mrr_change,mrr_growth_rate,new_mrr,expansion_mrr,reactivation_mrr,contraction_mrr,churn_mrr,grr,nrr,active_customers,new_customers,churned_customers,expanding_customers,contracting_customers,reactivated_customers,share_of_company_mrr,share_of_net_mrr_change,logo_churn_rate
2026-01,Enterprise,31000.0,31000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,0,0,0.815789,0.0,0.0
2026-01,Mid-Market,6700.0,6700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,0,0,0,0,0,0.176316,0.0,0.0
2026-01,SMB,0.0,300.0,300.0,,300.0,0.0,0.0,0.0,0.0,,,1,1,0,0,0,0,0.007895,1.0,
2026-02,Enterprise,31000.0,31000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,0,0,0.775,0.0,0.0
2026-02,Mid-Market,6700.0,8500.0,1800.0,0.268657,1800.0,0.0,0.0,0.0,0.0,1.0,1.0,4,1,0,0,0,0,0.2125,0.9,0.0
2026-02,SMB,300.0,500.0,200.0,0.666667,500.0,0.0,0.0,0.0,300.0,0.0,0.0,1,1,1,0,0,0,0.0125,0.1,1.0
2026-03,Enterprise,31000.0,32500.0,1500.0,0.048387,0.0,1500.0,0.0,0.0,0.0,1.0,1.048387,4,0,0,1,0,0,0.824873,-2.5,0.0
2026-03,Mid-Market,8500.0,5800.0,-2700.0,-0.317647,0.0,0.0,0.0,500.0,2200.0,0.682353,0.682353,3,0,1,0,1,0,0.147208,4.5,0.25
2026-03,SMB,500.0,1100.0,600.0,1.2,600.0,0.0,0.0,0.0,0.0,1.0,1.0,2,1,0,0,0,0,0.027919,-1.0,0.0
2026-04,Enterprise,32500.0,33300.0,800.0,0.024615,0.0,800.0,0.0,0.0,0.0,1.0,1.024615,4,0,0,1,0,0,0.821208,0.695652,0.0
2026-04,Mid-Market,5800.0,5900.0,100.0,0.017241,0.0,700.0,0.0,600.0,0.0,0.896552,1.017241,3,0,0,1,1,0,0.145499,0.086957,0.0
2026-04,SMB,1100.0,1350.0,250.0,0.227273,0.0,250.0,0.0,0.0,0.0,1.0,1.227273,2,0,0,1,0,0,0.033292,0.217391,0.0
2026-05,Enterprise,33300.0,32600.0,-700.0,-0.021021,0.0,0.0,0.0,700.0,0.0,0.978979,0.978979,4,0,0,0,1,0,0.832695,0.5,0.0
2026-05,Mid-Market,5900.0,4400.0,-1500.0,-0.254237,0.0,0.0,0.0,0.0,1500.0,0.745763,0.745763,2,0,1,0,0,0,0.112388,1.071429,0.333333
2026-05,SMB,1350.0,2150.0,800.0,0.592593,400.0,0.0,400.0,0.0,0.0,1.0,1.296296,4,1,0,0,0,1,0.054917,-0.571429,0.0
2026-06,Enterprise,32600.0,33100.0,500.0,0.015337,0.0,500.0,0.0,0.0,0.0,1.0,1.015337,4,0,0,1,0,0,0.844388,10.0,0.0
2026-06,Mid-Market,4400.0,4400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,0,0,0.112245,0.0,0.0
2026-06,SMB,2150.0,1700.0,-450.0,-0.209302,0.0,300.0,0.0,0.0,750.0,0.651163,0.790698,3,0,1,1,0,0,0.043367,-9.0,0.25
2026-07,Enterprise,33100.0,31600.0,-1500.0,-0.045317,0.0,0.0,0.0,1500.0,0.0,0.954683,0.954683,4,0,0,0,1,0,0.858696,0.625,0.0
2026-07,Mid-Market,4400.0,3500.0,-900.0,-0.204545,0.0,300.0,0.0,0.0,1200.0,0.727273,0.795455,1,0,1,1,0,0,0.095109,0.375,0.5
2026-07,SMB,1700.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,0,0,0,0,0,0.046196,-0.0,0.0
2026-08,Enterprise,31600.0,31600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,0,0,0.827225,0.0,0.0
2026-08,Mid-Market,3500.0,5300.0,1800.0,0.514286,0.0,0.0,1800.0,0.0,0.0,1.0,1.514286,2,0,0,0,0,1,0.138743,1.285714,0.0
2026-08,SMB,1700.0,1300.0,-400.0,-0.235294,0.0,0.0,0.0,0.0,400.0,0.764706,0.764706,2,0,1,0,0,0,0.034031,-0.285714,0.333333
2026-09,Enterprise,31600.0,31600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,0,0,0.776413,0.0,0.0
2026-09,Mid-Market,5300.0,7800.0,2500.0,0.471698,0.0,0.0,2500.0,0.0,0.0,1.0,1.471698,3,0,0,0,0,1,0.191646,1.0,0.0
2026-09,SMB,1300.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,0,0,0.031941,0.0,0.0
2026-10,Enterprise,31600.0,31600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,0,0,0.776413,,0.0
2026-10,Mid-Market,7800.0,7800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,0,0,0,0,0,0.191646,,0.0
2026-10,SMB,1300.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,0,0,0.031941,,0.0
2026-11,Enterprise,31600.0,31600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,0,0,0.776413,,0.0
2026-11,Mid-Market,7800.0,7800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,0,0,0,0,0,0.191646,,0.0
2026-11,SMB,1300.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,0,0,0.031941,,0.0
2026-12,Enterprise,31600.0,31600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,0,0,0.776413,,0.0
2026-12,Mid-Market,7800.0,7800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,0,0,0,0,0,0.191646,,0.0
2026-12,SMB,1300.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,0,0,0.031941,,0.0
