month,customer_id,customer_name,segment,region,industry,previous_mrr,current_mrr,new_mrr,expansion_mrr,contraction_mrr,churn_mrr,reactivation_mrr,movement_type
2026-01,C001,Acme Systems,Enterprise,West,Technology,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,Stable
2026-02,C001,Acme Systems,Enterprise,West,Technology,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,Stable
2026-03,C001,Acme Systems,Enterprise,West,Technology,5000.0,6500.0,0.0,1500.0,0.0,0.0,0.0,Expanded
2026-04,C001,Acme Systems,Enterprise,West,Technology,6500.0,6500.0,0.0,0.0,0.0,0.0,0.0,Stable
2026-05,C001,Acme Systems,Enterprise,West,Technology,6500.0,5800.0,0.0,0.0,700.0,0.0,0.0,Contracted
2026-06,C001,Acme Systems,Enterprise,West,Technology,5800.0,5800.0,0.0,0.0,0.0,0.0,0.0,Stable
2026-07,C001,Acme Systems,Enterprise,West,Technology,5800.0,5800.0,0.0,0.0,0.0,0.0,0.0,Stable
2026-08,C001,Acme Systems,Enterprise,West,Technology,5800.0,5800.0,0.0,0.0,0.0,0.0,0.0,Stable
2026-09,C001,Acme Systems,Enterprise,West,Technology,5800.0,5800.0,0.0,0.0,0.0,0.0,0.0,Stable
2026-10,C001,Acme Systems,Enterprise,West,Technology,5800.0,5800.0,0.0,0.0,0.0,0.0,0.0,Stable
2026-11,C001,Acme Systems,Enterprise,West,Technology,5800.0,5800.0,0.0,0.0,0.0,0.0,0.0,Stable
2026-12,C001,Acme Systems,Enterprise,West,Technology,5800.0,5800.0,0.0,0.0,0.0,0.0,0.0,Stable
2026-01,C003,Cygnus Health,Mid-Market,Central,Healthcare,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,Stable
2026-02,C003,Cygnus Health,Mid-Market,Central,Healthcare,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,Stable
2026-03,C003,Cygnus Health,Mid-Market,Central,Healthcare,2000.0,1500.0,0.0,0.0,500.0,0.0,0.0,Contracted
2026-04,C003,Cygnus Health,Mid-Market,Central,Healthcare,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,Stable
2026-05,C003,Cygnus Health,Mid-Market,Central,Healthcare,1500.0,0.0,0.0,0.0,0.0,1500.0,0.0,Churned
2026-06,C003,Cygnus Health,Mid-Market,Central,Healthcare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inactive
2026-07,C003,Cygnus Health,Mid-Market,Central,Healthcare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inactive
2026-08,C003,Cygnus Health,Mid-Market,Central,Healthcare,0.0,1800.0,0.0,0.0,0.0,0.0,1800.0,Reactivated
2026-09,C003,Cygnus Health,Mid-Market,Central,Healthcare,1800.0,1800.0,0.0,0.0,0.0,0.0,0.0,Stable
2026-10,C003,Cygnus Health,Mid-Market,Central,Healthcare,1800.0,1800.0,0.0,0.0,0.0,0.0,0.0,Stable
2026-11,C003,Cygnus Health,Mid-Market,Central,Healthcare,1800.0,1800.0,0.0,0.0,0.0,0.0,0.0,Stable
2026-12,C003,Cygnus Health,Mid-Market,Central,Healthcare,1800.0,1800.0,0.0,0.0,0.0,0.0,0.0,Stable
2026-01,C004,Delta Commerce,Enterprise,East,Retail,7000.0,7000.0,0.0,0.0,0.0,0.0,0.0,Stable
2026-02,C004,Delta Commerce,Enterprise,East,Retail,7000.0,7000.0,0.0,0.0,0.0,0.0,0.0,Stable
2026-03,C004,Delta Commerce,Enterprise,East,Retail,7000.0,7000.0,0.0,0.0,0.0,0.0,0.0,Stable
2026-04,C004,Delta Commerce,Enterprise,East,Retail,7000.0,7800.0,0.0,800.0,0.0,0.0,0.0,Expanded
