month,customer_id,plan_id,plan_name,plan_tier,plan_mrr,seat_count
2026-01,C001,P003,Enterprise,3,5000.0,100
2026-01,C002,P001,Starter,1,0.0,0
2026-01,C003,P002,Growth,2,2000.0,40
2026-01,C004,P003,Enterprise,3,7000.0,140
2026-01,C004,P004,AI Add-on,4,0.0,0
2026-01,C005,P001,Starter,1,300.0,6
2026-01,C006,P002,Growth,2,2500.0,50
2026-01,C006,P003,Enterprise,3,0.0,0
2026-01,C007,P002,Growth,2,0.0,0
2026-01,C008,P003,Enterprise,3,9000.0,180
2026-01,C009,P001,Starter,1,0.0,0
2026-01,C010,P002,Growth,2,2200.0,44
2026-01,C011,P003,Enterprise,3,10000.0,200
2026-01,C012,P001,Starter,1,0.0,0
2026-02,C001,P003,Enterprise,3,5000.0,100
2026-02,C002,P001,Starter,1,500.0,10
2026-02,C003,P002,Growth,2,2000.0,40
2026-02,C004,P003,Enterprise,3,7000.0,140
2026-02,C004,P004,AI Add-on,4,0.0,0
2026-02,C005,P001,Starter,1,0.0,0
2026-02,C006,P002,Growth,2,2500.0,50
2026-02,C006,P003,Enterprise,3,0.0,0
2026-02,C007,P002,Growth,2,1800.0,36
2026-02,C008,P003,Enterprise,3,9000.0,180
2026-02,C009,P001,Starter,1,0.0,0
2026-02,C010,P002,Growth,2,2200.0,44
2026-02,C011,P003,Enterprise,3,10000.0,200
2026-02,C012,P001,Starter,1,0.0,0
2026-03,C001,P003,Enterprise,3,6500.0,130
2026-03,C002,P001,Starter,1,500.0,10
2026-03,C003,P002,Growth,2,1500.0,30
2026-03,C004,P003,Enterprise,3,7000.0,140
2026-03,C004,P004,AI Add-on,4,0.0,0
2026-03,C005,P001,Starter,1,0.0,0
2026-03,C006,P002,Growth,2,2500.0,50
2026-03,C006,P003,Enterprise,3,0.0,0
2026-03,C007,P002,Growth,2,1800.0,36
2026-03,C008,P003,Enterprise,3,9000.0,180
2026-03,C009,P001,Starter,1,600.0,12
2026-03,C010,P002,Growth,2,0.0,0
2026-03,C011,P003,Enterprise,3,10000.0,200
2026-03,C012,P001,Starter,1,0.0,0
2026-04,C001,P003,Enterprise,3,6500.0,130
2026-04,C002,P001,Starter,1,750.0,15
2026-04,C003,P002,Growth,2,1500.0,30
2026-04,C004,P003,Enterprise,3,7000.0,140
2026-04,C004,P004,AI Add-on,4,800.0,140
2026-04,C005,P001,Starter,1,0.0,0
2026-04,C006,P002,Growth,2,0.0,0
2026-04,C006,P003,Enterprise,3,3200.0,64
2026-04,C007,P002,Growth,2,1200.0,24
2026-04,C008,P003,Enterprise,3,9000.0,180
2026-04,C009,P001,Starter,1,600.0,12
2026-04,C010,P002,Growth,2,0.0,0
2026-04,C011,P003,Enterprise,3,10000.0,200
2026-04,C012,P001,Starter,1,0.0,0
2026-05,C001,P003,Enterprise,3,5800.0,116
2026-05,C002,P001,Starter,1,750.0,15
2026-05,C003,P002,Growth,2,0.0,0
2026-05,C004,P003,Enterprise,3,7000.0,140
2026-05,C004,P004,AI Add-on,4,800.0,140
2026-05,C005,P001,Starter,1,400.0,8
2026-05,C006,P002,Growth,2,0.0,0
2026-05,C006,P003,Enterprise,3,3200.0,64
2026-05,C007,P002,Growth,2,1200.0,24
2026-05,C008,P003,Enterprise,3,9000.0,180
2026-05,C009,P001,Starter,1,600.0,12
2026-05,C010,P002,Growth,2,0.0,0
2026-05,C011,P003,Enterprise,3,10000.0,200
2026-05,C012,P001,Starter,1,400.0,8
2026-06,C001,P003,Enterprise,3,5800.0,116
2026-06,C002,P001,Starter,1,0.0,0
2026-06,C003,P002,Growth,2,0.0,0
2026-06,C004,P003,Enterprise,3,7500.0,150
2026-06,C004,P004,AI Add-on,4,800.0,140
2026-06,C005,P001,Starter,1,400.0,8
2026-06,C006,P002,Growth,2,0.0,0
2026-06,C006,P003,Enterprise,3,3200.0,64
2026-06,C007,P002,Growth,2,1200.0,24
2026-06,C008,P003,Enterprise,3,9000.0,180
2026-06,C009,P001,Starter,1,900.0,18
2026-06,C010,P002,Growth,2,0.0,0
2026-06,C011,P003,Enterprise,3,10000.0,200
2026-06,C012,P001,Starter,1,400.0,8
2026-07,C001,P003,Enterprise,3,5800.0,116
2026-07,C002,P001,Starter,1,0.0,0
2026-07,C003,P002,Growth,2,0.0,0
2026-07,C004,P003,Enterprise,3,7500.0,150
2026-07,C004,P004,AI Add-on,4,800.0,140
2026-07,C005,P001,Starter,1,400.0,8
2026-07,C006,P002,Growth,2,0.0,0
2026-07,C006,P003,Enterprise,3,3500.0,70
2026-07,C007,P002,Growth,2,0.0,0
2026-07,C008,P003,Enterprise,3,9000.0,180
2026-07,C009,P001,Starter,1,900.0,18
2026-07,C010,P002,Growth,2,0.0,0
2026-07,C011,P003,Enterprise,3,8500.0,170
2026-07,C012,P001,Starter,1,400.0,8
2026-08,C001,P003,Enterprise,3,5800.0,116
2026-08,C002,P001,Starter,1,0.0,0
2026-08,C003,P002,Growth,2,1800.0,36
2026-08,C004,P003,Enterprise,3,7500.0,150
2026-08,C004,P004,AI Add-on,4,800.0,140
2026-08,C005,P001,Starter,1,400.0,8
2026-08,C006,P002,Growth,2,0.0,0
2026-08,C006,P003,Enterprise,3,3500.0,70
2026-08,C007,P002,Growth,2,0.0,0
2026-08,C008,P003,Enterprise,3,9000.0,180
2026-08,C009,P001,Starter,1,900.0,18
2026-08,C010,P002,Growth,2,0.0,0
2026-08,C011,P003,Enterprise,3,8500.0,170
2026-08,C012,P001,Starter,1,0.0,0
2026-09,C001,P003,Enterprise,3,5800.0,116
2026-09,C002,P001,Starter,1,0.0,0
2026-09,C003,P002,Growth,2,1800.0,36
2026-09,C004,P003,Enterprise,3,7500.0,150
2026-09,C004,P004,AI Add-on,4,800.0,140
2026-09,C005,P001,Starter,1,400.0,8
2026-09,C006,P002,Growth,2,0.0,0
2026-09,C006,P003,Enterprise,3,3500.0,70
2026-09,C007,P002,Growth,2,0.0,0
2026-09,C008,P003,Enterprise,3,9000.0,180
2026-09,C009,P001,Starter,1,900.0,18
2026-09,C010,P002,Growth,2,2500.0,50
2026-09,C011,P003,Enterprise,3,8500.0,170
2026-09,C012,P001,Starter,1,0.0,0
2026-10,C001,P003,Enterprise,3,5800.0,116
2026-10,C002,P001,Starter,1,0.0,0
2026-10,C003,P002,Growth,2,1800.0,36
2026-10,C004,P003,Enterprise,3,7500.0,150
2026-10,C004,P004,AI Add-on,4,800.0,140
2026-10,C005,P001,Starter,1,400.0,8
2026-10,C006,P002,Growth,2,0.0,0
2026-10,C006,P003,Enterprise,3,3500.0,70
2026-10,C007,P002,Growth,2,0.0,0
2026-10,C008,P003,Enterprise,3,9000.0,180
2026-10,C009,P001,Starter,1,900.0,18
2026-10,C010,P002,Growth,2,2500.0,50
2026-10,C011,P003,Enterprise,3,8500.0,170
2026-10,C012,P001,Starter,1,0.0,0
2026-11,C001,P003,Enterprise,3,5800.0,116
2026-11,C002,P001,Starter,1,0.0,0
2026-11,C003,P002,Growth,2,1800.0,36
2026-11,C004,P003,Enterprise,3,7500.0,150
2026-11,C004,P004,AI Add-on,4,800.0,140
